Month,pr,r20mm,r50mm,hurs,tasmin,tas,hd35,rx5day
1957-02,234.23,2.13,0.19,86.62,21.38,23.93,0.0,81.1
1957-03,340.59,3.6,0.25,88.75,21.67,24.04,0.0,98.84
1957-04,275.44,2.45,0.2,88.75,21.79,24.23,0.0,88.5
1957-05,245.38,1.75,0.14,88.36,21.95,24.32,0.0,78.46
1957-06,176.27,1.26,0.17,86.07,21.66,24.25,0.0,67.73
1957-07,250.4,2.29,0.3,87.23,21.39,24.02,0.0,87.48
1957-08,174.3,1.55,0.16,84.01,21.04,23.9,0.0,78.34
1957-09,193.76,1.95,0.22,81.25,21.29,24.36,0.16,69.29
1957-10,192.61,1.71,0.16,81.34,21.42,24.67,0.42,71.98
1957-11,244.42,2.03,0.12,84.99,21.8,24.74,0.21,79.82
1957-12,384.35,4.52,0.26,88.78,21.9,24.36,0.0,105.6
1958-01,250.26,2.01,0.14,86.4,21.82,24.6,0.01,89.17
1958-02,263.14,2.71,0.28,86.85,21.87,24.53,0.0,95.45
1958-03,342.81,3.82,0.23,88.6,21.94,24.53,0.0,98.59
1958-04,249.6,1.65,0.13,87.75,22.19,24.92,0.0,77.35
1958-05,244.53,1.64,0.17,88.15,22.34,24.95,0.0,77.68
1958-06,180.05,1.19,0.09,85.96,21.91,24.72,0.0,70.74
1958-07,143.3,0.96,0.19,83.82,21.42,24.55,0.07,61.38
1958-08,279.09,2.66,0.23,87.15,21.44,24.01,0.0,83.99
1958-09,225.17,2.16,0.24,84.97,21.48,24.44,0.1,81.48
1958-10,293.36,3.38,0.25,86.79,21.75,24.56,0.04,98.08
1958-11,298.51,3.28,0.23,87.51,21.81,24.47,0.03,100.33
1958-12,347.94,3.68,0.2,89.08,21.7,24.12,0.0,99.22
1959-01,245.39,1.98,0.14,86.4,21.65,24.16,0.0,84.93
1959-02,250.53,2.46,0.22,86.08,21.56,24.19,0.0,92.58
1959-03,317.92,3.65,0.31,87.32,21.78,24.33,0.0,106.75
1959-04,305.54,2.92,0.23,88.15,21.83,24.33,0.0,94.7
