Month,pr,r20mm,r50mm,tasmin,tas,hurs,hi35,rx5day
1983-04,56.1,0.77,0.13,20.16,26.43,47.64,1.71,38.51
1983-05,63.61,0.54,0.08,23.33,29.12,52.41,6.22,31.77
1983-06,145.73,1.87,0.35,24.5,29.19,60.07,10.93,95.79
1983-07,274.24,3.35,0.68,23.86,26.9,78.33,7.77,118.84
1983-08,300.02,3.57,0.77,23.62,26.21,82.83,5.08,123.0
1983-09,208.56,2.09,0.27,22.81,25.76,81.15,2.68,87.02
1983-10,79.01,0.74,0.15,18.99,23.64,68.13,0.43,52.59
1983-11,11.2,0.08,0.01,13.27,19.58,56.48,0.0,8.46
1983-12,31.32,0.28,0.07,11.22,17.0,61.25,0.0,24.18
1984-01,25.27,0.21,0.01,10.89,16.56,62.88,0.0,17.82
1984-02,38.76,0.4,0.06,12.16,18.14,55.05,0.0,24.0
1984-03,18.5,0.19,0.01,17.39,24.46,43.14,0.0,13.46
1984-04,36.97,0.3,0.06,21.35,27.89,44.07,1.04,18.31
1984-05,55.32,0.7,0.2,24.51,30.77,44.73,10.0,28.07
1984-06,203.87,2.98,0.63,24.49,28.33,65.98,8.92,93.21
1984-07,246.43,3.04,0.47,23.42,26.25,77.84,3.47,102.13
1984-08,249.19,3.22,0.7,23.12,25.81,79.49,3.17,100.69
1984-09,129.8,1.47,0.28,21.5,25.17,74.53,0.24,78.96
1984-10,49.99,0.37,0.02,18.74,24.05,60.43,0.01,31.54
1984-11,17.93,0.16,0.05,13.63,19.88,53.84,0.0,11.92
1984-12,19.32,0.21,0.02,11.38,17.73,55.06,0.0,15.05
1985-01,24.94,0.22,0.01,11.75,17.26,62.51,0.0,16.98
1985-02,8.07,0.04,0.0,12.52,19.56,44.92,0.0,6.21
1985-03,20.99,0.18,0.03,18.24,25.29,40.88,0.12,11.83
1985-04,29.89,0.27,0.04,21.58,28.09,43.37,1.99,17.65
1985-05,49.43,0.47,0.1,24.03,29.96,46.9,7.7,26.74
1985-06,137.2,1.67,0.31,24.37,28.56,62.49,9.34,66.91
1985-07,273.52,3.51,0.53,23.28,26.15,77.55,2.86,105.54
1985-08,206.03,2.26,0.42,23.0,26.0,78.83,3.46,99.11
1985-09,125.68,1.16,0.15,22.33,25.94,73.67,0.7,55.07
1985-10,96.72,1.15,0.27,18.5,23.33,66.85,0.03,71.03
1985-11,21.53,0.22,0.03,14.1,20.15,57.61,0.0,13.91
1985-12,20.91,0.23,0.04,12.06,18.27,59.14,0.0,13.95
1986-01,19.72,0.2,0.02,10.74,16.64,59.47,0.0,16.12
1986-02,35.98,0.36,0.0,13.36,19.13,58.47,0.0,24.48
1986-03,21.91,0.22,0.01,17.37,24.05,45.21,0.03,11.38
1986-04,41.39,0.46,0.08,21.31,27.86,44.06,1.56,21.21
1986-05,42.06,0.34,0.02,23.11,29.15,48.42,4.83,23.67
1986-06,196.05,2.7,0.62,24.29,28.61,63.31,9.33,108.63
1986-07,261.68,3.47,0.88,23.56,26.52,76.21,4.76,122.36
1986-08,209.79,2.65,0.48,23.01,26.01,77.37,3.49,104.27
1986-09,113.23,1.07,0.18,22.17,26.03,71.57,1.08,54.43
1986-10,58.11,0.58,0.1,18.95,24.26,62.59,0.04,40.34
1986-11,41.5,0.49,0.08,15.39,21.08,59.62,0.0,31.0
1986-12,25.98,0.24,0.02,11.65,17.22,61.65,0.0,18.52
1987-01,16.49,0.12,0.0,11.43,17.21,60.52,0.0,12.39
1987-02,14.65,0.12,0.0,13.57,19.97,51.33,0.0,9.4
1987-03,22.54,0.16,0.0,17.43,23.88,47.26,0.01,12.17
1987-04,36.45,0.45,0.09,21.3,28.01,41.49,1.25,24.88
1987-05,42.43,0.37,0.04,22.91,28.84,48.26,4.68,24.65
1987-06,102.5,1.03,0.21,24.96,29.67,59.05,14.26,47.21
1987-07,188.79,2.36,0.5,24.28,27.71,71.14,8.78,80.94
1987-08,218.58,2.57,0.5,23.89,26.99,76.3,7.53,95.86
1987-09,112.45,1.07,0.16,23.07,26.82,71.77,3.19,55.3
1987-10,73.16,0.7,0.08,19.59,24.59,65.2,0.14,41.29
1987-11,47.18,0.49,0.11,15.15,20.76,61.98,0.0,27.57
1987-12,24.21,0.21,0.02,11.69,17.48,63.51,0.0,17.34
1988-01,6.92,0.03,0.0,11.77,17.78,58.98,0.0,4.02
1988-02,22.87,0.2,0.02,14.21,20.6,51.98,0.01,13.4
1988-03,31.93,0.38,0.08,17.38,24.04,46.3,0.47,19.31
1988-04,37.78,0.28,0.03,21.68,28.09,45.07,1.27,19.97
1988-05,63.09,0.67,0.22,24.74,30.68,47.74,11.65,29.7
1988-06,158.61,1.93,0.37,24.47,28.79,63.35,10.49,86.74
1988-07,370.24,5.0,1.13,23.9,26.4,82.0,6.29,145.11
1988-08,272.62,3.24,0.68,23.47,26.07,82.38,3.89,120.89
1988-09,193.64,1.81,0.3,22.89,26.18,78.81,4.39,90.35
1988-10,42.94,0.45,0.1,18.6,23.95,63.24,0.16,37.54
1988-11,21.2,0.29,0.06,14.26,20.36,56.77,0.0,15.91
1988-12,19.09,0.23,0.03,11.9,17.89,60.78,0.0,20.61
1989-01,13.34,0.17,0.02,9.97,16.26,55.99,0.0,11.0
1989-02,11.97,0.13,0.01,12.15,19.21,45.29,0.0,6.44
1989-03,27.0,0.25,0.01,16.73,23.2,47.37,0.0,16.74
1989-04,27.73,0.35,0.07,20.35,27.51,38.88,1.22,16.62
1989-05,48.87,0.49,0.12,23.82,30.05,45.76,8.48,30.56
1989-06,198.17,2.51,0.53,23.81,27.8,67.45,8.27,94.25
1989-07,313.78,4.17,0.99,23.45,26.41,78.25,5.34,144.4
1989-08,258.71,3.2,0.51,23.13,25.83,80.37,3.47,98.76
1989-09,155.62,1.59,0.15,22.33,25.82,76.3,1.32,70.09
1989-10,49.76,0.44,0.08,18.98,24.45,61.84,0.2,29.02
1989-11,21.96,0.16,0.03,14.68,20.74,58.56,0.0,13.95
1989-12,18.66,0.09,0.0,11.35,17.01,63.31,0.0,16.57
1990-01,12.14,0.12,0.01,11.72,18.18,56.3,0.0,7.71
1990-02,43.29,0.35,0.02,13.74,19.54,58.78,0.0,24.79
1990-03,40.79,0.42,0.06,16.38,22.54,51.46,0.16,25.48
1990-04,45.26,0.54,0.11,20.88,27.5,44.51,1.8,21.65
1990-05,133.38,1.41,0.32,23.65,28.42,60.26,7.81,69.31
1990-06,206.41,2.72,0.53,24.32,28.05,68.07,9.26,105.29
1990-07,299.19,4.3,0.8,23.44,26.06,79.29,3.4,125.62
1990-08,308.89,3.91,0.87,23.41,26.02,81.35,4.47,131.38
1990-09,191.77,2.04,0.27,22.52,25.52,79.95,1.34,80.65
1990-10,99.83,1.16,0.14,18.98,23.57,69.66,0.03,57.97
1990-11,31.63,0.35,0.06,15.41,20.96,62.76,0.0,23.91
1990-12,25.13,0.31,0.06,11.99,17.7,62.79,0.0,20.79
1991-01,13.11,0.06,0.01,10.65,16.59,60.43,0.0,10.65
1991-02,21.44,0.21,0.01,13.8,20.16,52.97,0.0,13.88
1991-03,29.24,0.29,0.01,17.79,24.24,49.36,0.04,18.55
1991-04,47.96,0.51,0.09,20.89,27.2,47.14,1.8,27.51
1991-05,70.2,0.75,0.2,24.33,30.09,49.16,9.72,31.8
1991-06,195.17,2.49,0.59,24.42,28.43,66.65,10.81,98.24
1991-07,286.67,3.9,0.82,24.08,27.07,76.15,8.82,120.38
1991-08,249.83,3.16,0.54,23.29,25.9,80.09,3.76,99.1
1991-09,116.15,1.16,0.13,22.34,26.03,73.56,1.03,62.67
1991-10,57.16,0.48,0.09,18.53,24.0,60.55,0.03,33.0
1991-11,31.93,0.31,0.06,14.54,20.07,61.94,0.0,23.92
1991-12,21.23,0.21,0.0,11.51,17.16,63.71,0.0,18.37
1992-01,20.75,0.26,0.03,10.54,16.71,59.07,0.0,15.57
1992-02,15.72,0.14,0.01,12.16,18.47,54.55,0.0,9.23
1992-03,21.27,0.28,0.03,17.18,23.99,42.98,0.0,10.1
1992-04,23.38,0.16,0.01,20.98,27.63,42.26,0.71,12.43
1992-05,52.45,0.43,0.07,23.4,29.32,48.18,5.41,25.09
1992-06,124.83,1.37,0.36,24.74,29.45,59.05,12.15,71.12
1992-07,251.71,3.23,0.57,23.86,26.97,74.75,5.59,108.22
1992-08,259.52,3.06,0.52,23.3,25.88,81.95,3.94,102.62
1992-09,138.9,1.59,0.28,21.81,25.46,75.27,1.31,86.12
1992-10,52.26,0.5,0.07,19.18,24.04,66.67,0.06,35.38
1992-11,35.05,0.33,0.04,15.18,20.62,63.43,0.0,23.58
1992-12,6.23,0.04,0.0,11.19,17.3,60.67,0.0,4.77
1993-01,13.8,0.12,0.0,10.96,17.0,58.14,0.0,7.87
1993-02,23.84,0.28,0.03,13.38,19.92,50.93,0.0,19.72
1993-03,33.91,0.44,0.05,16.33,22.72,48.46,0.05,24.83
1993-04,30.77,0.26,0.01,20.87,27.45,45.12,1.35,16.71
1993-05,72.16,0.79,0.15,24.22,30.13,49.07,9.09,32.43
1993-06,179.24,2.28,0.47,24.66,28.95,64.05,12.06,89.11
1993-07,293.37,3.92,0.84,23.89,26.81,77.89,7.54,127.09
1993-08,197.7,2.48,0.44,23.54,26.52,76.77,5.0,89.98
1993-09,199.73,2.09,0.34,22.46,25.52,79.36,1.31,87.08
1993-10,86.4,0.59,0.07,19.75,24.42,69.14,0.13,38.22
1993-11,28.09,0.28,0.05,15.14,20.79,62.0,0.0,18.38
1993-12,20.5,0.28,0.06,11.21,17.23,60.94,0.0,15.94
1994-01,27.37,0.24,0.01,11.99,17.73,63.77,0.0,21.02
1994-02,29.59,0.31,0.02,12.98,19.07,57.14,0.0,18.78
1994-03,25.37,0.31,0.06,17.95,24.91,44.95,0.18,15.05
1994-04,49.49,0.41,0.07,20.58,26.83,47.81,1.1,25.81
1994-05,49.55,0.42,0.08,24.3,30.32,47.63,9.97,29.25
1994-06,228.09,3.14,0.66,24.52,28.44,67.11,10.88,105.14
1994-07,342.2,4.5,0.91,23.67,26.13,81.97,5.37,131.81
1994-08,276.41,3.52,0.68,23.35,25.81,82.52,3.92,106.67
1994-09,129.03,1.41,0.27,21.84,25.54,74.09,1.75,86.06
1994-10,83.65,0.7,0.11,18.81,23.86,66.06,0.0,42.86
1994-11,27.31,0.24,0.05,14.89,20.41,63.31,0.0,21.64
1994-12,10.69,0.13,0.01,10.93,17.06,59.17,0.0,6.22
1995-01,38.96,0.5,0.06,10.05,15.96,62.67,0.0,29.69
1995-02,23.15,0.21,0.01,13.21,19.7,54.96,0.0,14.25
1995-03,28.37,0.2,0.01,16.79,23.38,50.04,0.07,18.74
1995-04,32.71,0.27,0.03,20.7,27.64,43.82,1.52,15.36
1995-05,79.28,1.02,0.28,23.91,29.78,49.15,7.1,49.6
1995-06,141.15,1.63,0.36,25.34,30.04,59.93,14.97,74.33
1995-07,300.4,3.87,0.72,24.07,26.91,78.29,7.66,119.17
1995-08,251.27,2.71,0.5,23.65,26.26,81.56,4.2,114.25
1995-09,160.25,1.85,0.43,22.52,26.03,76.61,1.87,98.15
1995-10,80.46,0.59,0.06,19.85,24.54,69.01,0.24,40.73
1995-11,42.43,0.58,0.17,14.84,20.61,61.45,0.0,31.38
1995-12,12.21,0.07,0.0,12.1,17.84,61.8,0.0,8.98
1996-01,22.37,0.21,0.02,11.77,17.33,63.27,0.0,15.45
1996-02,28.37,0.35,0.03,13.63,19.87,55.72,0.0,17.77
1996-03,32.21,0.41,0.07,18.26,24.88,47.69,0.37,17.61
1996-04,34.88,0.27,0.02,20.98,27.57,45.51,2.09,21.0
1996-05,48.17,0.49,0.11,23.93,30.06,46.47,7.84,21.15
1996-06,209.47,2.7,0.77,24.43,28.61,65.27,10.68,125.39
1996-07,283.04,3.52,0.74,23.88,26.83,77.6,7.38,122.2
1996-08,265.41,3.05,0.45,23.2,25.72,82.41,2.95,101.75
1996-09,148.5,1.12,0.1,22.58,25.92,78.04,2.2,67.06
1996-10,88.16,1.03,0.19,18.96,23.65,69.02,0.11,56.84
1996-11,14.8,0.1,0.01,14.19,20.19,60.35,0.0,9.88
1996-12,20.55,0.26,0.05,10.7,16.86,57.68,0.0,13.13
1997-01,19.11,0.12,0.0,10.19,16.09,60.95,0.0,14.26
1997-02,10.95,0.05,0.0,12.0,18.86,49.52,0.0,5.12
1997-03,28.6,0.27,0.02,17.27,23.83,47.88,0.07,19.04
1997-04,44.41,0.26,0.0,19.7,25.82,50.56,0.32,24.2
1997-05,48.5,0.38,0.04,22.83,28.96,49.03,5.04,26.74
1997-06,171.33,1.84,0.39,24.08,28.39,64.92,8.97,89.81
1997-07,311.51,4.18,0.88,24.17,27.02,78.1,8.07,138.46
1997-08,260.96,3.45,0.82,23.37,26.22,79.5,4.11,116.56
1997-09,144.17,1.15,0.21,22.53,25.87,77.7,1.76,71.51
1997-10,57.17,0.24,0.0,18.88,23.36,72.1,0.0,29.55
1997-11,56.7,0.39,0.03,16.48,20.89,72.34,0.0,28.17
1997-12,56.57,0.6,0.08,12.88,17.04,76.6,0.0,38.39
1998-01,20.08,0.14,0.01,11.67,16.99,65.82,0.0,13.22
1998-02,25.78,0.29,0.03,13.71,19.59,58.55,0.01,16.47
1998-03,40.6,0.44,0.05,16.6,22.95,52.92,0.18,22.11
1998-04,37.94,0.31,0.05,21.8,28.03,49.54,2.57,19.82
1998-05,62.26,0.61,0.13,24.74,30.64,50.17,13.32,34.59
1998-06,181.81,2.36,0.55,25.26,29.55,63.3,14.83,101.39
1998-07,280.98,3.84,0.74,24.21,27.04,79.25,8.4,120.73
1998-08,229.52,2.39,0.35,23.97,26.69,81.21,6.49,86.72
1998-09,176.5,1.85,0.23,23.05,26.12,80.53,4.12,86.45
1998-10,103.67,1.03,0.22,20.54,24.55,74.71,1.23,63.61
1998-11,37.74,0.39,0.05,15.85,20.96,67.52,0.0,27.11
1998-12,9.84,0.12,0.01,11.22,17.34,62.14,0.0,7.02
1999-01,13.24,0.11,0.0,10.37,16.38,61.98,0.0,7.73
1999-02,14.79,0.08,0.0,14.45,20.61,57.3,0.0,10.47
1999-03,12.77,0.14,0.01,17.54,24.67,43.11,0.18,7.67
1999-04,19.3,0.18,0.02,21.79,28.93,40.57,2.98,11.52
1999-05,98.16,1.07,0.19,23.96,29.14,56.02,7.64,46.53
1999-06,179.99,2.44,0.57,24.0,28.0,67.4,8.56,96.12
1999-07,273.5,3.67,0.75,23.87,26.8,77.32,6.49,114.58
1999-08,206.68,2.42,0.39,23.32,26.17,79.16,3.74,86.49
1999-09,154.9,1.31,0.18,22.76,25.96,77.63,1.87,72.66
1999-10,98.55,0.74,0.11,19.83,24.21,71.77,0.04,50.81
1999-11,16.45,0.14,0.02,15.0,20.88,59.99,0.0,12.95
1999-12,4.93,0.02,0.0,11.37,17.34,61.14,0.0,3.47
2000-01,14.18,0.11,0.01,11.21,17.32,59.22,0.0,9.06
2000-02,28.91,0.24,0.01,12.59,18.51,58.26,0.0,18.39
2000-03,16.83,0.15,0.01,16.25,23.31,44.15,0.0,9.13
2000-04,35.8,0.35,0.07,21.91,28.54,44.98,2.86,18.88
2000-05,92.09,0.86,0.18,24.2,29.36,56.78,10.6,46.69
2000-06,206.53,2.78,0.55,24.21,27.9,70.02,9.19,95.86
2000-07,267.14,3.41,0.65,23.64,26.46,78.94,5.43,121.68
2000-08,229.4,2.73,0.46,23.5,26.38,79.24,5.2,97.4
2000-09,124.18,1.18,0.22,22.32,25.99,74.42,1.19,66.25
2000-10,45.06,0.36,0.06,19.77,25.18,62.15,0.26,25.16
2000-11,13.98,0.11,0.03,15.4,21.36,58.36,0.0,8.9
2000-12,11.27,0.09,0.02,10.8,17.35,54.72,0.0,12.04
2001-01,6.43,0.02,0.0,10.56,16.74,57.08,0.0,4.68
2001-02,10.84,0.08,0.0,13.25,20.29,48.86,0.0,7.55
2001-03,20.42,0.12,0.0,17.22,23.91,46.67,0.36,11.94
2001-04,43.71,0.37,0.06,21.08,27.4,47.47,1.49,27.33
2001-05,64.23,0.58,0.11,24.34,29.79,53.29,10.57,32.89
2001-06,241.21,3.11,0.54,23.99,27.42,72.38,7.6,116.52
2001-07,280.8,3.5,0.72,23.83,26.45,80.37,5.66,115.74
2001-08,205.63,2.1,0.28,23.52,26.34,79.88,5.84,86.94
2001-09,108.25,0.88,0.08,22.6,26.56,72.17,2.47,54.48
2001-10,96.61,0.88,0.15,20.05,24.73,68.92,0.3,59.84
2001-11,24.31,0.19,0.02,15.59,21.24,60.64,0.0,15.75
2001-12,11.27,0.1,0.01,11.69,17.7,60.55,0.0,7.85
2002-01,19.78,0.12,0.0,11.07,16.89,61.42,0.0,15.78
2002-02,22.69,0.27,0.02,13.62,19.87,55.29,0.0,18.09
2002-03,19.28,0.18,0.02,17.69,24.45,46.28,0.23,13.26
2002-04,36.25,0.35,0.04,21.85,28.42,45.48,2.74,17.11
2002-05,63.44,0.63,0.1,24.6,30.24,51.64,12.45,28.32
2002-06,191.37,2.2,0.54,24.61,28.65,67.1,12.73,102.2
2002-07,146.88,1.68,0.3,24.65,28.02,69.95,9.39,64.34
2002-08,275.41,3.5,0.66,23.51,26.22,79.95,5.19,114.89
2002-09,131.54,1.61,0.21,22.11,25.91,73.76,1.6,75.29
2002-10,62.49,0.61,0.06,19.55,24.78,63.68,0.25,36.13
2002-11,23.38,0.23,0.04,15.17,21.07,59.23,0.0,16.48
2002-12,11.71,0.06,0.01,12.33,18.42,59.82,0.0,10.39
2003-01,12.42,0.1,0.0,10.83,16.73,60.74,0.0,12.9
2003-02,36.58,0.39,0.09,14.47,20.21,60.24,0.0,26.27
2003-03,30.58,0.26,0.03,17.22,23.75,48.85,0.06,20.09
2003-04,35.94,0.32,0.02,21.83,28.35,45.84,2.34,17.68
2003-05,32.17,0.34,0.04,23.96,30.23,44.46,8.55,16.58
2003-06,188.59,2.52,0.44,24.93,29.23,63.64,13.53,89.39
2003-07,321.79,4.13,0.68,23.89,26.69,80.56,6.91,116.54
2003-08,251.7,2.72,0.46,23.7,26.34,81.4,6.02,103.2
2003-09,185.81,1.91,0.24,22.76,25.79,79.2,2.08,76.58
2003-10,95.35,1.15,0.2,19.37,24.25,67.62,0.1,50.68
2003-11,16.45,0.15,0.02,15.05,20.82,61.85,0.0,10.12
2003-12,22.58,0.21,0.06,11.83,17.47,63.78,0.0,17.56
2004-01,26.17,0.21,0.0,11.4,16.82,65.87,0.0,16.18
2004-02,7.61,0.05,0.0,13.18,19.83,52.43,0.0,7.05
2004-03,15.12,0.13,0.02,18.47,25.67,42.91,0.21,11.37
2004-04,55.86,0.57,0.15,22.3,28.47,48.02,2.58,32.15
2004-05,73.74,0.8,0.12,24.13,29.52,53.04,10.39,42.03
2004-06,174.37,2.16,0.54,24.21,28.21,66.73,9.44,96.64
2004-07,254.94,3.25,0.53,23.95,27.07,75.28,7.38,105.23
2004-08,254.93,3.06,0.61,23.41,26.11,80.25,5.32,110.02
2004-09,129.4,1.16,0.12,22.78,26.4,74.78,2.83,59.36
2004-10,89.36,0.91,0.16,18.72,23.46,68.97,0.08,56.87
2004-11,19.88,0.14,0.01,14.93,20.81,60.24,0.0,12.89
2004-12,8.09,0.08,0.01,12.07,18.03,61.16,0.0,5.73
2005-01,31.59,0.27,0.01,11.35,16.93,63.19,0.0,21.94
2005-02,26.87,0.3,0.02,13.98,20.07,56.25,0.0,20.77
2005-03,35.6,0.38,0.03,18.3,24.52,51.28,0.37,20.36
2005-04,38.09,0.31,0.03,20.82,27.42,44.52,1.64,23.1
2005-05,43.43,0.32,0.03,23.74,29.73,47.92,7.58,21.39
2005-06,144.92,1.79,0.4,25.32,29.95,58.67,14.23,94.6
2005-07,314.91,4.27,0.85,23.97,26.7,79.53,6.8,142.57
2005-08,178.44,2.09,0.39,23.57,26.57,77.61,5.74,94.63
2005-09,203.54,2.42,0.52,22.93,26.09,78.81,4.07,98.01
2005-10,104.52,1.17,0.18,19.65,24.25,68.82,0.08,52.83
2005-11,26.16,0.31,0.06,14.13,20.22,59.64,0.0,15.16
2005-12,12.94,0.11,0.01,10.86,17.04,59.33,0.0,8.75
2006-01,12.5,0.16,0.03,11.01,17.41,56.37,0.0,8.15
2006-02,10.41,0.11,0.02,15.02,21.99,49.54,0.0,6.1
2006-03,38.81,0.32,0.02,17.31,23.6,51.6,0.06,25.3
2006-04,34.98,0.43,0.04,21.44,27.88,46.31,1.97,21.74
2006-05,87.74,0.91,0.18,24.34,29.68,55.47,11.22,58.16
2006-06,152.79,1.77,0.25,24.44,28.54,65.57,10.26,83.55
2006-07,299.47,4.13,1.01,24.23,26.98,77.93,7.68,129.45
2006-08,287.48,3.71,0.98,23.48,26.13,80.55,4.84,132.6
2006-09,158.75,1.81,0.31,22.7,26.16,77.31,3.45,86.18
2006-10,49.25,0.35,0.05,20.08,24.91,67.38,0.73,31.98
2006-11,41.35,0.23,0.02,16.09,21.15,66.89,0.0,21.59
2006-12,10.92,0.1,0.02,12.31,18.03,63.52,0.0,7.68
2007-01,3.79,0.02,0.0,11.05,17.29,57.35,0.0,2.73
2007-02,41.68,0.51,0.05,14.19,19.98,59.82,0.0,27.69
2007-03,24.11,0.29,0.04,17.16,23.7,49.99,0.06,17.8
2007-04,37.72,0.38,0.07,22.16,28.51,46.44,1.57,19.06
2007-05,50.11,0.33,0.04,24.48,30.02,51.43,9.37,23.45
2007-06,238.78,2.97,0.73,24.9,28.83,67.93,13.29,128.54
2007-07,302.26,3.92,0.9,24.19,26.98,78.57,7.8,136.3
2007-08,280.12,3.45,0.68,23.75,26.48,80.5,5.96,122.29
2007-09,218.9,2.6,0.46,22.9,26.04,79.34,3.96,101.3
2007-10,69.47,0.79,0.12,18.89,24.22,62.8,0.43,39.81
2007-11,17.33,0.1,0.01,15.18,21.12,60.79,0.0,15.04
2007-12,17.05,0.18,0.05,12.04,17.79,61.74,0.0,12.5
2008-01,23.35,0.3,0.03,10.93,16.87,58.1,0.0,15.06
2008-02,20.14,0.12,0.0,12.24,18.56,54.16,0.0,13.89
2008-03,51.89,0.56,0.06,18.05,24.4,50.5,0.01,31.35
2008-04,30.8,0.24,0.03,21.14,27.72,46.6,1.71,19.61
2008-05,49.71,0.34,0.01,23.92,29.54,50.71,5.99,23.88
2008-06,249.9,3.36,0.53,24.22,27.57,72.29,7.47,103.12
2008-07,275.45,3.66,0.59,24.07,26.91,77.79,6.16,115.49
2008-08,283.57,3.68,0.6,23.46,26.1,81.61,3.99,119.54
2008-09,174.66,1.82,0.38,22.34,25.84,77.17,2.95,94.96
2008-10,60.16,0.46,0.07,19.53,24.7,65.57,0.42,33.82
2008-11,36.49,0.4,0.12,15.47,21.23,61.72,0.0,26.1
2008-12,11.23,0.1,0.01,13.21,18.79,65.13,0.0,10.07
2009-01,11.84,0.09,0.0,12.57,18.33,62.39,0.0,7.2
2009-02,11.24,0.13,0.01,14.46,21.16,50.72,0.0,6.54
2009-03,19.31,0.12,0.02,17.92,24.72,45.27,0.03,11.83
2009-04,23.16,0.2,0.02,21.68,28.57,41.31,2.09,12.95
2009-05,64.78,0.63,0.11,24.21,29.95,50.76,9.89,31.85
2009-06,100.26,1.09,0.16,25.04,29.87,57.25,13.25,64.24
2009-07,322.41,4.59,1.08,24.24,27.15,77.23,8.86,127.88
2009-08,228.22,3.0,0.42,24.02,26.99,76.99,6.82,99.7
2009-09,173.31,2.18,0.44,23.1,26.68,74.92,4.37,106.8
2009-10,81.27,1.05,0.25,19.32,24.44,62.96,0.57,81.32
2009-11,66.03,0.76,0.11,15.88,20.86,66.56,0.0,41.69
2009-12,17.56,0.11,0.02,12.77,18.14,64.74,0.0,12.28
2010-01,11.85,0.05,0.0,11.13,16.79,63.76,0.0,10.14
2010-02,17.42,0.18,0.05,14.33,20.55,55.07,0.01,13.15
2010-03,20.16,0.25,0.07,19.45,26.11,46.13,0.52,14.49
2010-04,43.17,0.5,0.15,23.35,29.8,43.31,5.53,22.93
2010-05,69.58,0.84,0.17,25.18,30.83,49.65,13.95,35.68
2010-06,159.64,2.08,0.45,25.13,29.44,62.36,14.31,79.1
2010-07,341.11,4.77,0.87,24.13,26.88,80.39,8.97,124.91
2010-08,299.68,3.66,0.54,24.03,26.54,83.09,7.3,116.15
2010-09,209.0,2.24,0.31,22.74,25.84,80.18,2.65,95.24
2010-10,85.82,0.77,0.1,20.46,24.83,70.15,0.43,45.18
2010-11,66.88,0.54,0.05,17.12,21.62,72.65,0.0,35.0
2010-12,31.42,0.45,0.05,11.53,17.09,65.67,0.0,30.21
2011-01,8.22,0.06,0.0,9.86,16.08,59.16,0.0,5.28
2011-02,25.2,0.27,0.02,13.63,19.76,57.36,0.0,16.65
2011-03,20.15,0.23,0.02,17.57,24.33,47.34,0.03,12.2
2011-04,41.9,0.33,0.03,20.87,27.03,48.9,0.76,23.68
2011-05,54.87,0.51,0.09,24.47,29.95,52.3,10.82,28.66
2011-06,204.43,2.75,0.63,24.52,28.29,68.1,11.17,102.59
2011-07,280.75,3.59,0.56,24.03,26.88,79.09,7.95,104.31
2011-08,340.71,4.72,0.83,23.75,26.2,83.22,5.54,134.3
2011-09,199.31,2.53,0.39,22.86,25.88,79.67,2.51,96.64
2011-10,47.66,0.29,0.01,19.82,24.81,65.26,0.38,22.68
2011-11,19.26,0.19,0.02,15.88,21.53,62.53,0.0,11.23
2011-12,12.3,0.14,0.01,11.86,17.76,61.99,0.0,12.82
2012-01,23.87,0.21,0.01,10.84,16.37,63.55,0.0,13.96
2012-02,14.32,0.15,0.0,12.93,19.53,50.82,0.0,8.18
2012-03,12.98,0.09,0.01,16.86,24.02,43.23,0.04,7.25
2012-04,42.19,0.42,0.04,21.77,27.88,48.38,2.09,20.25
2012-05,31.64,0.22,0.03,24.35,30.35,46.42,9.13,20.09
2012-06,125.81,1.66,0.41,25.42,29.81,58.68,13.84,67.98
2012-07,285.18,3.96,0.64,24.27,27.13,77.18,8.6,104.59
2012-08,295.83,3.71,0.69,23.75,26.29,81.35,5.38,115.84
2012-09,194.72,2.2,0.35,22.89,26.01,78.88,3.09,99.87
2012-10,67.2,0.81,0.15,19.06,24.16,65.07,0.3,46.02
2012-11,29.1,0.34,0.06,14.77,20.46,62.76,0.0,31.31
2012-12,13.85,0.13,0.02,12.19,17.86,63.27,0.0,10.09
2013-01,12.54,0.16,0.03,10.63,16.59,60.61,0.0,10.88
2013-02,40.41,0.53,0.04,13.98,19.81,60.09,0.0,24.95
2013-03,16.21,0.11,0.0,17.69,24.36,48.19,0.23,9.37
2013-04,32.95,0.27,0.02,21.41,27.75,47.64,2.62,21.21
2013-05,61.65,0.78,0.18,24.71,30.53,48.23,11.88,34.35
2013-06,259.35,3.75,0.77,24.34,27.82,72.46,10.61,118.21
2013-07,346.35,5.04,0.96,23.96,26.43,81.66,7.54,124.45
2013-08,258.1,3.27,0.47,23.52,26.02,82.44,4.51,108.35
2013-09,170.72,1.9,0.24,22.96,26.3,77.39,3.91,86.61
2013-10,132.91,1.59,0.3,20.55,24.41,75.35,0.44,72.17
2013-11,15.24,0.08,0.01,14.66,20.21,64.62,0.0,9.42
2013-12,9.75,0.06,0.0,11.65,17.35,64.2,0.0,7.58
2014-01,20.38,0.26,0.01,11.61,16.82,67.28,0.0,13.71
2014-02,34.52,0.33,0.01,13.14,18.88,60.77,0.0,22.28
2014-03,27.44,0.24,0.01,17.2,23.32,54.19,0.09,20.46
2014-04,19.81,0.09,0.0,21.21,27.86,45.66,2.24,11.02
2014-05,66.6,0.8,0.17,23.87,29.54,51.38,7.13,40.44
2014-06,101.54,1.24,0.19,25.58,30.18,59.43,16.19,52.84
2014-07,297.46,4.23,0.86,24.53,27.47,75.66,10.0,123.99
2014-08,249.9,3.27,0.62,23.92,26.82,78.49,7.2,117.03
