Month,rx5day_true,rx5day_pred,label_true,label_pred,label_true_txt,label_pred_txt
2020-04-01,24.149999618530273,32.369175,0,0,Non-flood,Non-flood
2020-05-01,39.2599983215332,38.360348,0,0,Non-flood,Non-flood
2020-06-01,53.880001068115234,50.41517,1,1,Slight flood,Slight flood
2020-07-01,57.9900016784668,60.19481,1,1,Slight flood,Slight flood
2020-08-01,56.810001373291016,52.009426,1,1,Slight flood,Slight flood
2020-09-01,43.540000915527344,41.244003,0,0,Non-flood,Non-flood
2020-10-01,21.360000610351562,26.051405,0,0,Non-flood,Non-flood
2020-11-01,16.15999984741211,12.703707,0,0,Non-flood,Non-flood
2020-12-01,6.0,10.254082,0,0,Non-flood,Non-flood
2021-01-01,6.429999828338623,7.1299806,0,0,Non-flood,Non-flood
2021-02-01,16.549999237060547,11.516562,0,0,Non-flood,Non-flood
2021-03-01,20.56999969482422,22.857119,0,0,Non-flood,Non-flood
2021-04-01,24.989999771118164,31.425068,0,0,Non-flood,Non-flood
2021-05-01,42.529998779296875,36.697983,0,0,Non-flood,Non-flood
2021-06-01,53.720001220703125,50.631912,1,1,Slight flood,Slight flood
2021-07-01,62.40999984741211,56.600643,1,1,Slight flood,Slight flood
2021-08-01,58.04999923706055,52.7628,1,1,Slight flood,Slight flood
2021-09-01,41.310001373291016,38.355713,0,0,Non-flood,Non-flood
2021-10-01,33.630001068115234,25.49035,0,0,Non-flood,Non-flood
2021-11-01,17.510000228881836,15.187926,0,0,Non-flood,Non-flood
2021-12-01,8.619999885559082,8.433041,0,0,Non-flood,Non-flood
2022-01-01,12.569999694824219,10.134708,0,0,Non-flood,Non-flood
2022-02-01,14.880000114440918,14.917719,0,0,Non-flood,Non-flood
2022-03-01,24.950000762939453,19.180569,0,0,Non-flood,Non-flood
2022-04-01,29.850000381469727,34.00377,0,0,Non-flood,Non-flood
2022-05-01,40.220001220703125,45.237423,0,0,Non-flood,Non-flood
2022-06-01,55.720001220703125,52.01006,1,1,Slight flood,Slight flood
2022-07-01,51.970001220703125,60.453995,1,1,Slight flood,Slight flood
2022-08-01,44.029998779296875,49.13777,0,0,Non-flood,Non-flood
2022-09-01,33.45000076293945,34.144535,0,0,Non-flood,Non-flood
2022-10-01,27.8700008392334,21.105057,0,0,Non-flood,Non-flood
2022-11-01,19.65999984741211,11.763254,0,0,Non-flood,Non-flood
2022-12-01,8.369999885559082,11.349745,0,0,Non-flood,Non-flood
2023-01-01,8.529999732971191,8.029984,0,0,Non-flood,Non-flood
2023-02-01,12.720000267028809,12.203001,0,0,Non-flood,Non-flood
2023-03-01,21.389999389648438,21.07913,0,0,Non-flood,Non-flood
2023-04-01,29.25,30.60724,0,0,Non-flood,Non-flood
2023-05-01,34.27000045776367,40.425922,0,0,Non-flood,Non-flood
2023-06-01,48.099998474121094,47.15804,0,0,Non-flood,Non-flood
2023-07-01,57.31999969482422,54.806873,1,1,Slight flood,Slight flood
2023-08-01,51.599998474121094,53.90014,1,1,Slight flood,Slight flood
2023-09-01,39.790000915527344,39.10077,0,0,Non-flood,Non-flood
2023-10-01,24.8799991607666,23.815475,0,0,Non-flood,Non-flood
2023-11-01,17.639999389648438,13.647895,0,0,Non-flood,Non-flood
2023-12-01,11.84000015258789,8.640624,0,0,Non-flood,Non-flood
