Month,hurs,pr,r20mm,rx5day,hd35,rx1day,tasmax,cdd
1957-02,85.02,147.98,0.99,64.8,0.0,24.83,28.52,4.23
1957-03,87.09,248.1,1.89,74.9,0.05,27.26,28.93,2.42
1957-04,88.31,241.97,1.73,81.66,0.0,29.19,29.3,1.97
1957-05,89.95,291.18,2.17,95.66,0.0,28.31,29.25,0.58
1957-06,87.87,190.85,1.56,87.42,0.0,29.79,29.45,4.71
1957-07,87.1,213.68,2.12,85.62,0.0,28.81,29.34,3.62
1957-08,86.32,159.11,0.88,61.57,0.0,20.61,29.31,4.49
1957-09,86.14,218.54,1.16,69.54,0.0,26.08,29.34,1.37
1957-10,87.34,264.69,1.98,86.57,0.0,27.76,29.14,1.28
1957-11,86.57,189.49,0.98,70.28,0.0,27.44,28.91,2.13
1957-12,88.56,323.01,3.29,87.53,0.0,37.98,28.35,0.81
1958-01,85.54,226.24,2.29,92.96,0.03,35.92,28.79,3.39
1958-02,83.81,144.47,0.75,55.11,0.11,23.91,29.24,4.28
1958-03,84.71,231.13,1.94,80.84,0.22,34.67,29.85,4.99
1958-04,83.14,163.28,0.84,55.38,0.5,24.85,30.65,3.8
1958-05,87.79,265.99,1.81,83.22,0.04,32.96,30.05,2.4
1958-06,85.95,176.1,1.27,64.33,0.02,23.07,30.11,3.32
1958-07,80.73,84.3,0.26,46.75,0.25,18.28,30.64,7.22
1958-08,88.15,303.45,3.27,98.83,0.0,39.57,29.07,1.25
1958-09,87.46,246.98,1.79,75.07,0.0,26.27,29.71,1.36
1958-10,90.05,361.7,3.85,113.21,0.0,43.58,28.8,0.58
1958-11,89.85,320.93,3.29,106.26,0.0,42.83,27.96,2.12
1958-12,86.99,219.97,1.67,78.09,0.0,29.8,28.17,3.79
1959-01,84.16,169.41,1.21,69.77,0.02,30.09,28.27,3.99
1959-02,81.39,121.51,0.81,57.14,0.23,23.75,29.61,5.11
1959-03,82.52,214.71,2.16,88.89,0.33,38.37,29.62,4.4
1959-04,86.83,257.69,1.78,79.04,0.0,31.28,29.44,1.63
1959-05,88.41,298.17,2.51,88.71,0.0,31.78,29.28,1.31
1959-06,87.82,248.42,1.92,81.57,0.0,26.85,29.13,2.46
1959-07,85.65,168.62,0.74,54.46,0.0,20.71,29.3,3.63
1959-08,85.6,167.9,0.6,53.8,0.0,17.67,29.11,2.69
1959-09,86.13,243.17,2.2,78.05,0.02,31.71,29.15,2.09
1959-10,87.28,277.03,2.43,89.14,0.0,34.19,28.91,1.05
1959-11,88.89,289.98,2.13,84.47,0.0,28.4,28.37,0.43
1959-12,86.66,194.58,1.27,73.34,0.0,27.65,28.44,3.71
1960-01,86.04,208.49,1.4,67.79,0.0,26.67,28.18,2.75
1960-02,84.8,187.97,1.57,72.73,0.14,30.64,28.58,3.74
1960-03,82.61,159.89,0.95,64.05,0.49,23.74,29.88,4.98
1960-04,86.74,251.85,1.67,73.6,0.04,27.74,29.65,1.22
1960-05,86.46,212.89,1.25,68.53,0.11,22.9,29.94,3.08
1960-06,84.68,140.63,0.56,49.25,0.09,19.76,29.96,3.59
1960-07,86.17,240.77,2.07,81.66,0.05,31.73,29.29,3.55
1960-08,84.71,170.21,0.74,62.51,0.04,19.58,30.14,2.58
1960-09,87.61,312.43,2.92,96.31,0.01,40.12,29.22,0.48
1960-10,86.37,217.34,1.16,69.72,0.02,23.29,29.46,2.16
1960-11,88.9,294.98,1.8,76.27,0.0,26.81,28.46,0.52
1960-12,87.3,245.13,2.01,83.64,0.0,29.25,28.3,2.31
1961-01,84.86,163.69,1.19,67.16,0.01,26.71,27.84,6.33
1961-02,84.46,192.46,1.7,75.14,0.09,33.8,28.86,4.22
1961-03,83.62,183.62,1.12,57.45,0.39,22.49,29.81,4.12
1961-04,86.43,253.89,1.82,76.58,0.18,29.25,29.81,0.98
1961-05,85.86,194.02,1.1,68.43,0.13,23.39,30.15,3.73
1961-06,84.63,167.11,1.25,78.3,0.13,26.87,29.62,5.18
1961-07,82.34,130.45,0.66,53.94,0.11,19.77,29.92,8.19
1961-08,83.64,131.8,0.5,49.0,0.09,17.29,29.71,4.52
1961-09,84.76,208.88,1.48,63.95,0.01,25.11,29.57,2.12
1961-10,85.94,220.39,1.21,71.57,0.02,22.72,29.3,1.65
1961-11,86.57,208.98,1.29,71.59,0.0,25.33,28.98,1.41
1961-12,88.38,316.96,2.84,92.51,0.0,34.84,28.23,0.89
1962-01,87.8,332.64,4.2,115.78,0.0,44.4,27.56,2.72
1962-02,84.35,178.79,1.4,70.12,0.09,24.8,28.25,4.3
1962-03,87.56,348.31,4.02,114.17,0.04,38.74,28.88,0.83
1962-04,86.3,256.39,2.69,102.04,0.15,37.95,29.64,2.14
1962-05,86.1,212.03,1.18,72.86,0.17,25.13,30.25,2.43
1962-06,85.23,200.89,1.33,67.31,0.11,22.89,29.79,2.34
1962-07,82.89,90.2,0.24,50.1,0.06,13.08,30.03,5.73
1962-08,85.95,258.38,2.2,76.44,0.03,28.49,29.12,2.86
1962-09,86.18,217.54,1.66,76.21,0.02,29.15,29.31,2.0
1962-10,86.69,263.5,2.11,95.56,0.0,37.42,29.34,1.35
1962-11,87.44,248.21,2.05,91.41,0.0,34.42,28.74,1.47
1962-12,87.72,262.94,2.29,88.15,0.0,36.13,28.09,2.21
1963-01,87.83,356.45,4.71,140.68,0.0,60.09,26.78,4.01
1963-02,85.51,256.4,2.79,83.27,0.06,38.9,27.67,2.77
1963-03,84.7,242.33,2.48,80.53,0.42,32.64,29.01,2.41
1963-04,80.09,115.57,0.46,41.65,2.52,17.6,30.64,5.56
1963-05,85.48,267.17,2.23,85.47,0.91,38.32,30.25,3.12
1963-06,83.13,111.12,0.2,39.19,0.14,15.18,30.42,3.93
1963-07,83.67,169.4,1.1,66.5,0.05,26.68,29.87,3.38
1963-08,85.83,207.8,1.03,60.91,0.04,22.75,29.51,2.05
1963-09,85.22,200.67,1.1,66.78,0.03,27.27,29.86,2.06
1963-10,87.5,290.39,2.31,86.49,0.02,30.78,29.11,1.6
1963-11,86.73,223.33,1.48,70.0,0.0,25.41,29.25,1.41
1963-12,86.29,211.12,1.42,74.4,0.0,26.64,28.75,2.8
1964-01,83.81,184.32,1.48,59.39,0.17,23.69,29.49,3.88
1964-02,84.69,236.04,2.31,86.14,0.21,29.11,28.92,3.36
1964-03,84.6,244.12,2.88,91.24,0.38,38.96,29.36,2.91
1964-04,84.44,230.03,1.64,67.78,0.81,25.37,30.35,2.01
1964-05,85.46,218.57,2.04,88.24,0.28,30.62,30.14,4.44
