Month,pr,r20mm,r50mm,tasmin,tas,tasmax,hurs,rx5day
1957-01,79.04,0.39,0.0,-2.7,0.7,4.48,75.46,33.21
1957-02,97.34,0.97,0.0,-3.8,-0.74,2.69,73.51,51.58
1957-03,101.53,0.8,0.09,-1.66,1.84,5.7,72.38,50.43
1957-04,136.77,1.85,0.3,6.1,9.82,14.01,76.85,83.52
1957-05,158.44,2.47,0.29,10.0,13.75,17.83,78.83,58.79
1957-06,169.57,2.26,0.54,13.99,16.91,20.25,83.24,80.41
1957-07,273.84,4.05,0.89,19.2,21.56,24.47,87.37,102.17
1957-08,212.8,2.63,0.42,20.67,23.26,26.44,86.69,91.02
1957-09,303.24,4.72,1.25,15.18,17.96,21.22,81.43,131.14
1957-10,94.24,1.03,0.05,10.02,13.54,17.84,77.16,41.47
1957-11,81.5,0.97,0.1,5.22,8.78,13.17,74.75,40.37
1957-12,109.83,0.84,0.02,0.27,3.46,7.08,75.39,37.53
1958-01,117.19,0.93,0.02,-3.03,0.1,3.47,74.17,44.5
1958-02,107.66,1.35,0.05,-1.95,1.28,5.06,74.51,46.24
1958-03,102.89,0.83,0.0,0.27,3.67,7.52,73.59,41.37
1958-04,157.06,2.17,0.14,6.11,9.67,13.68,76.31,64.98
1958-05,110.12,1.06,0.16,9.95,13.88,18.18,76.72,45.96
1958-06,128.04,1.55,0.33,15.26,18.59,22.35,79.83,77.19
1958-07,195.96,2.79,0.57,19.65,22.33,25.52,84.64,99.5
1958-08,197.49,2.19,0.39,19.77,22.54,25.86,85.27,87.73
1958-09,263.65,3.48,1.28,16.95,19.86,23.28,83.68,123.11
1958-10,188.26,3.16,0.37,9.94,13.13,16.77,80.2,74.04
1958-11,76.17,0.73,0.01,4.42,7.74,11.79,77.9,37.97
1958-12,115.69,1.09,0.15,0.76,4.09,7.8,77.56,55.9
1959-01,102.29,0.55,0.02,-4.15,-0.94,2.64,74.08,44.03
1959-02,131.58,1.56,0.08,-0.19,3.04,6.5,76.01,49.99
1959-03,120.05,1.14,0.02,1.84,5.15,8.83,73.62,46.09
1959-04,174.99,2.7,0.27,7.07,10.63,14.72,71.31,69.09
1959-05,140.81,1.89,0.09,11.06,14.66,18.78,74.88,58.81
1959-06,160.23,1.97,0.35,14.76,17.67,21.05,81.0,77.2
1959-07,239.6,3.43,0.6,19.78,22.41,25.58,84.57,104.89
1959-08,222.74,2.94,1.14,20.37,23.18,26.6,82.9,126.74
1959-09,200.59,2.52,0.61,17.33,20.31,23.9,80.84,104.79
1959-10,165.8,2.29,0.53,10.92,14.33,18.3,77.64,74.94
1959-11,105.92,1.23,0.16,5.06,8.35,12.24,76.13,56.01
1959-12,109.88,1.08,0.01,-0.16,2.96,6.54,74.63,36.89
1960-01,98.24,0.88,0.08,-3.82,-0.72,2.86,73.2,45.86
1960-02,51.9,0.12,0.0,-2.07,1.58,5.89,70.59,20.33
1960-03,110.65,1.5,0.04,1.05,4.59,8.57,71.35,42.62
1960-04,146.75,1.84,0.33,4.99,8.62,12.72,70.88,62.89
1960-05,173.21,2.57,0.23,10.6,14.02,17.91,76.89,67.98
1960-06,186.99,2.16,0.6,15.16,17.99,21.36,81.19,99.83
1960-07,157.75,1.9,0.24,19.42,22.37,25.86,82.43,76.13
1960-08,207.17,2.89,0.76,20.96,23.92,27.36,81.34,109.53
1960-09,170.85,2.18,0.1,17.16,20.22,23.83,81.63,67.47
1960-10,125.12,1.74,0.39,10.11,13.55,17.66,76.52,63.45
1960-11,106.09,0.67,0.04,5.57,8.65,12.26,77.0,48.3
1960-12,91.68,0.6,0.0,-1.29,1.74,5.34,73.56,34.55
1961-01,94.62,0.67,0.0,-4.8,-1.63,2.02,72.86,38.64
1961-02,75.94,0.5,0.03,-3.69,-0.52,3.19,70.61,37.61
1961-03,101.6,1.08,0.02,0.46,4.01,8.01,71.78,36.1
1961-04,128.28,1.94,0.27,6.4,10.22,14.6,70.27,51.44
1961-05,150.04,1.88,0.34,11.7,15.3,19.41,75.49,56.65
1961-06,252.93,3.85,1.19,15.79,18.78,22.22,80.04,149.78
1961-07,175.58,2.46,0.26,20.87,23.62,26.92,83.2,107.36
1961-08,180.57,1.94,0.29,20.92,23.75,27.14,83.46,82.39
1961-09,195.83,2.53,0.63,18.57,21.67,25.37,80.94,95.24
1961-10,224.65,3.03,0.91,12.2,15.13,18.55,78.29,121.1
1961-11,110.18,1.32,0.09,5.5,8.8,12.61,74.72,58.52
1961-12,81.28,0.51,0.0,-0.39,2.81,6.65,74.16,33.12
1962-01,90.1,0.82,0.02,-3.49,-0.42,3.02,74.25,41.9
1962-02,62.69,0.11,0.0,-3.05,0.36,4.31,71.24,26.23
1962-03,88.09,0.34,0.0,-0.33,3.24,7.13,70.32,37.18
1962-04,144.06,2.21,0.17,5.84,9.64,13.92,71.02,55.87
1962-05,145.08,2.35,0.28,10.96,14.79,19.0,74.63,57.98
1962-06,238.51,3.84,0.77,14.97,17.75,21.0,81.87,103.49
1962-07,247.21,3.75,0.65,19.91,22.37,25.42,85.03,118.37
1962-08,221.84,2.79,0.63,20.44,23.47,27.06,81.75,102.45
1962-09,145.59,1.82,0.09,17.0,20.15,23.8,79.39,63.51
1962-10,116.83,1.55,0.13,9.54,13.11,17.27,75.21,58.01
1962-11,118.72,1.46,0.13,4.31,7.46,11.16,75.87,47.12
1962-12,81.56,0.6,0.01,-0.63,2.85,6.84,73.83,45.36
1963-01,86.37,0.29,0.0,-5.03,-2.01,1.3,72.61,31.83
1963-02,62.85,0.16,0.01,-3.92,-0.66,3.02,72.14,28.13
1963-03,102.87,1.08,0.03,0.02,3.59,7.68,71.73,48.66
1963-04,122.81,1.47,0.04,6.49,9.98,13.96,74.91,46.89
1963-05,249.38,4.13,0.56,12.35,15.35,18.88,78.94,102.18
1963-06,241.05,3.73,0.65,16.19,18.65,21.75,84.45,106.09
1963-07,200.6,2.4,0.4,19.76,22.46,25.76,83.94,88.66
1963-08,230.13,2.77,0.54,20.5,23.06,26.23,84.48,93.87
1963-09,148.03,1.72,0.21,15.16,18.32,21.95,78.69,72.73
1963-10,133.81,2.03,0.3,9.6,13.11,17.1,76.87,60.48
1963-11,93.73,0.93,0.04,4.59,8.04,12.03,74.1,42.0
1963-12,88.68,0.43,0.0,0.48,3.62,7.26,74.52,34.77
1964-01,113.92,1.18,0.04,-2.16,0.89,4.25,74.95,44.91
1964-02,85.34,0.4,0.01,-4.19,-1.17,2.21,73.61,39.42
1964-03,103.69,0.71,0.01,0.15,3.42,7.07,71.59,39.43
1964-04,166.75,2.53,0.06,8.29,11.55,15.36,78.97,76.06
1964-05,103.63,1.27,0.08,11.17,15.13,19.43,73.1,49.36
1964-06,214.54,3.4,0.74,14.91,17.75,21.07,80.66,99.02
1964-07,224.21,2.95,0.91,19.73,22.36,25.55,83.62,104.64
1964-08,213.91,2.5,0.42,21.26,24.0,27.34,83.3,97.68
1964-09,244.4,3.54,0.98,16.3,19.21,22.61,81.16,121.38
1964-10,128.04,1.59,0.02,10.05,13.27,17.02,76.95,50.7
1964-11,110.68,1.26,0.01,3.94,7.36,11.32,74.11,45.76
1964-12,87.21,0.45,0.01,-0.45,2.64,6.25,75.35,37.74
1965-01,96.37,0.78,0.02,-3.6,-0.68,2.78,75.86,42.1
1965-02,73.22,0.15,0.0,-3.96,-1.08,2.3,72.35,27.81
1965-03,92.63,0.61,0.13,-1.85,1.3,4.97,71.35,41.15
1965-04,117.65,1.52,0.05,3.09,6.54,10.56,72.88,55.44
1965-05,191.06,2.67,0.84,9.92,13.42,17.57,78.17,90.61
1965-06,205.06,3.07,0.59,14.72,17.73,21.39,82.95,94.49
1965-07,264.44,4.11,0.78,18.5,20.76,23.6,87.25,114.57
1965-08,99.66,0.86,0.2,19.98,22.81,26.38,82.45,54.02
1965-09,294.65,4.68,1.52,15.56,18.25,21.79,81.56,155.9
1965-10,86.43,1.2,0.1,9.46,12.51,16.75,77.18,46.68
1965-11,146.81,1.7,0.11,4.51,7.52,11.32,77.96,56.52
1965-12,112.9,0.92,0.01,-1.4,1.54,4.95,77.29,43.4
1966-01,97.63,0.62,0.01,-4.59,-1.49,1.92,74.32,44.79
1966-02,105.2,0.82,0.04,-2.76,0.73,4.6,75.02,46.57
1966-03,201.05,3.35,0.24,0.78,4.1,7.81,75.09,82.29
1966-04,123.99,1.89,0.13,4.62,8.21,12.31,77.15,53.8
1966-05,179.15,2.82,0.37,9.26,13.13,17.5,76.62,65.42
1966-06,252.84,3.42,1.15,13.92,16.93,20.5,83.81,141.26
1966-07,236.42,3.59,0.94,18.15,20.84,24.13,86.05,121.86
1966-08,154.97,1.68,0.31,20.74,23.23,26.49,85.95,78.18
1966-09,282.55,4.6,1.22,15.96,18.62,21.92,82.53,123.1
1966-10,160.94,2.33,0.32,10.97,13.73,17.21,80.95,75.76
1966-11,107.13,1.03,0.09,3.88,7.09,10.9,77.56,45.3
1966-12,80.03,0.37,0.01,-3.04,-0.19,3.21,75.81,28.34
1967-01,90.42,0.63,0.03,-5.32,-1.51,2.31,72.48,38.34
1967-02,65.35,0.22,0.0,-4.65,-0.55,3.54,72.49,29.48
