Month,pr,r20mm,rx5day,rx1day,hurs,r50mm,tasmin,cdd
1984-08,103.54,1.14,61.86,37.09,78.02,0.32,21.48,7.93
1984-09,140.39,1.93,71.67,39.43,77.34,0.23,16.24,7.35
1984-10,98.2,1.08,48.57,30.21,71.79,0.09,9.65,8.27
1984-11,77.15,0.83,41.31,23.02,71.67,0.01,4.74,9.74
1984-12,94.95,0.62,38.94,21.15,72.25,0.01,-0.83,7.52
1985-01,66.18,0.06,25.75,11.79,69.95,0.0,-5.66,6.65
1985-02,141.62,1.93,58.78,38.15,73.84,0.23,-1.68,4.72
1985-03,147.05,1.66,49.63,25.1,73.19,0.05,0.97,4.44
1985-04,133.24,1.97,60.86,35.24,72.44,0.15,6.59,6.34
1985-05,152.22,2.26,62.59,40.03,72.39,0.47,11.64,7.24
1985-06,288.51,4.78,150.09,68.97,79.99,1.53,14.83,7.1
1985-07,203.82,3.02,128.46,51.33,81.84,0.65,19.8,7.15
1985-08,105.48,1.06,51.15,27.94,79.91,0.15,21.35,9.6
1985-09,197.02,3.16,82.88,42.6,79.29,0.33,17.05,4.08
1985-10,135.03,1.83,56.52,34.46,74.49,0.14,10.79,6.83
1985-11,129.75,1.19,56.66,32.28,73.84,0.15,4.69,5.55
1985-12,84.31,0.42,36.72,17.35,73.76,0.01,-2.87,6.09
1986-01,67.41,0.15,28.83,13.15,69.68,0.0,-4.76,7.63
1986-02,66.37,0.53,32.66,20.0,68.85,0.0,-4.99,9.81
1986-03,137.08,1.61,55.48,33.95,71.01,0.17,-0.08,5.46
1986-04,127.61,1.4,48.89,31.97,71.13,0.16,6.29,3.98
1986-05,198.53,2.95,68.08,48.83,73.14,0.67,10.79,5.29
1986-06,189.64,3.0,89.5,50.2,77.68,0.81,14.85,7.57
1986-07,202.5,3.2,88.61,38.81,83.6,0.37,18.55,6.64
1986-08,118.33,1.2,75.33,52.68,78.57,0.38,20.64,8.98
1986-09,159.4,2.03,73.2,45.32,78.2,0.37,16.81,6.84
1986-10,96.03,0.89,44.66,24.94,73.44,0.05,8.86,6.61
1986-11,75.34,0.35,28.86,17.41,72.11,0.02,4.07,6.93
1986-12,103.46,0.99,45.36,27.28,71.81,0.07,0.15,6.67
1987-01,98.42,0.44,34.07,18.64,71.49,0.01,-3.36,5.02
1987-02,80.72,0.47,33.26,19.74,70.23,0.01,-2.33,6.25
1987-03,146.7,1.88,58.07,31.33,72.19,0.09,0.79,4.78
1987-04,84.14,0.7,37.57,20.46,67.47,0.04,5.73,6.67
1987-05,158.41,2.51,80.37,44.84,71.36,0.44,11.04,6.64
1987-06,148.25,2.33,59.41,44.95,74.97,0.51,15.5,6.8
1987-07,275.34,4.31,121.72,55.53,82.53,0.88,20.21,4.15
1987-08,198.94,2.54,80.59,41.71,82.65,0.39,20.65,3.66
1987-09,141.4,1.81,66.07,39.55,77.63,0.29,16.6,6.31
1987-10,144.29,1.89,79.75,47.45,74.72,0.43,11.5,7.0
1987-11,93.96,0.79,51.69,24.42,73.14,0.02,5.17,7.5
1987-12,67.39,0.33,29.24,15.78,72.44,0.0,-0.61,9.34
1988-01,81.68,0.17,28.99,12.5,70.89,0.0,-1.8,5.59
1988-02,70.26,0.2,31.61,14.38,67.73,0.0,-3.99,7.53
1988-03,132.59,1.65,51.07,28.78,69.77,0.07,0.13,5.46
1988-04,138.62,2.29,47.12,35.06,69.1,0.15,5.78,6.77
1988-05,169.81,2.65,97.84,43.18,72.22,0.26,10.65,5.26
1988-06,264.24,3.93,103.31,63.61,80.96,1.2,15.86,6.0
1988-07,170.73,2.36,79.98,44.23,82.81,0.51,18.31,7.77
1988-08,196.56,2.2,88.51,38.01,82.27,0.32,21.14,7.21
1988-09,232.31,3.54,109.77,59.75,81.82,0.82,17.24,4.91
1988-10,99.39,1.17,50.11,29.86,72.81,0.09,9.93,7.1
1988-11,93.42,0.63,41.73,24.95,70.97,0.1,2.82,8.23
1988-12,60.56,0.16,18.89,11.1,69.11,0.0,-0.23,9.37
1989-01,120.98,1.6,56.65,28.61,73.08,0.07,-0.62,5.11
1989-02,141.13,2.09,62.83,36.88,72.04,0.23,-0.73,5.95
1989-03,116.79,1.25,50.12,27.74,69.61,0.02,1.63,5.37
1989-04,128.36,2.0,55.13,33.94,68.29,0.09,6.62,5.55
1989-05,166.25,2.29,66.41,39.56,74.75,0.4,10.82,5.48
1989-06,184.41,3.02,85.42,47.43,78.2,0.55,14.45,7.41
1989-07,175.22,2.42,87.96,43.66,81.25,0.37,19.43,5.93
1989-08,200.99,2.85,113.96,64.95,79.58,0.74,20.86,6.01
1989-09,302.12,4.69,133.38,63.19,81.45,1.24,17.77,3.38
1989-10,103.22,1.12,41.55,25.85,73.46,0.03,10.44,6.87
1989-11,95.08,0.97,43.08,22.68,73.11,0.01,6.17,7.73
1989-12,70.96,0.23,28.21,15.2,71.52,0.0,0.29,7.54
1990-01,108.11,0.81,38.31,21.55,71.59,0.01,-3.71,4.35
1990-02,124.12,1.73,60.26,29.06,75.95,0.17,0.6,4.69
1990-03,102.54,1.09,43.82,25.16,67.86,0.02,2.14,6.15
1990-04,147.66,2.02,62.96,38.23,68.94,0.21,6.51,6.1
1990-05,134.89,1.9,69.41,37.48,72.3,0.44,11.59,8.1
1990-06,200.72,3.23,98.69,49.15,78.64,0.72,16.74,5.78
1990-07,128.19,1.43,89.44,40.2,80.44,0.24,20.24,6.68
1990-08,148.46,1.98,81.36,50.53,78.39,0.38,21.71,8.91
1990-09,299.49,4.66,134.26,76.8,80.16,1.38,18.07,5.22
1990-10,159.69,2.36,90.38,48.65,75.92,0.44,11.59,7.28
1990-11,184.07,2.96,74.18,51.23,74.52,0.72,7.29,6.99
1990-12,74.97,0.32,60.58,15.81,70.73,0.0,1.54,6.49
1991-01,81.82,0.33,30.89,16.69,71.11,0.0,-1.87,5.51
1991-02,121.32,1.43,53.9,33.6,68.62,0.11,-2.82,6.96
1991-03,137.26,1.89,49.63,30.99,72.43,0.11,1.6,5.07
1991-04,123.64,1.99,55.05,31.59,70.47,0.17,7.29,5.43
1991-05,116.7,1.33,65.15,30.94,71.49,0.14,11.51,6.36
1991-06,264.14,4.29,114.59,47.7,81.79,0.94,17.48,5.07
1991-07,254.75,4.08,109.25,46.04,82.14,0.59,20.07,4.91
1991-08,165.77,2.29,76.33,49.52,80.12,0.58,20.12,7.2
1991-09,252.44,3.34,111.78,73.7,79.08,1.26,17.64,4.42
1991-10,199.8,3.37,117.06,47.58,76.15,0.64,11.86,5.96
1991-11,92.45,1.13,48.39,29.05,71.68,0.11,4.99,9.0
1991-12,88.22,0.53,41.14,19.44,73.52,0.0,0.91,6.75
1992-01,89.07,0.66,36.13,21.86,72.48,0.02,-1.53,6.24
1992-02,71.8,0.47,38.4,16.49,68.58,0.0,-1.93,6.14
1992-03,158.6,2.54,54.23,27.38,72.97,0.04,1.96,5.25
1992-04,144.22,2.06,48.99,31.11,69.14,0.14,6.5,5.21
1992-05,149.65,1.96,62.72,35.86,72.46,0.17,10.21,5.3
1992-06,185.04,2.89,81.17,50.14,77.95,0.7,14.65,7.11
1992-07,158.64,1.94,89.6,42.77,80.21,0.4,19.41,8.49
1992-08,204.1,2.86,89.94,50.68,82.09,0.63,20.65,5.03
1992-09,151.9,2.24,71.96,41.72,75.35,0.39,16.14,6.69
1992-10,136.66,1.66,59.36,42.9,75.92,0.41,10.69,6.04
1992-11,84.26,0.79,38.02,23.01,72.6,0.03,5.2,6.51
1992-12,116.45,1.3,56.74,34.71,72.71,0.15,0.74,7.2
1993-01,115.57,0.86,48.14,23.51,73.96,0.02,-1.12,4.79
1993-02,112.55,1.39,44.2,25.59,69.17,0.03,-1.26,5.07
1993-03,88.86,0.93,41.49,22.52,66.27,0.01,0.42,6.27
1993-04,102.16,1.05,72.86,33.77,66.37,0.22,5.04,7.88
1993-05,122.35,1.76,57.63,31.41,72.32,0.07,10.61,5.94
1993-06,288.4,4.76,126.24,54.29,81.91,1.06,15.39,5.22
1993-07,314.71,5.02,135.38,63.28,83.52,1.47,18.1,6.07
1993-08,242.92,3.62,114.92,60.49,82.43,0.83,19.15,6.08
1993-09,268.3,4.25,123.51,58.11,79.81,1.22,16.12,5.92
1993-10,127.83,1.73,60.16,35.83,73.09,0.18,9.95,7.65
1993-11,143.05,1.85,69.99,47.44,74.51,0.39,6.41,7.32
1993-12,103.25,0.61,42.52,22.38,72.33,0.01,0.1,4.87
1994-01,83.95,0.55,33.38,18.27,71.22,0.0,-3.19,6.19
1994-02,108.91,1.48,52.38,32.23,69.37,0.05,-1.71,5.54
1994-03,104.17,1.19,51.48,32.44,67.28,0.12,-0.33,6.7
1994-04,102.24,1.2,41.08,26.14,66.33,0.17,6.75,5.82
1994-05,129.8,2.05,60.66,35.22,69.71,0.17,11.88,6.47
1994-06,161.21,2.11,79.59,44.65,78.26,0.6,15.72,7.77
1994-07,87.79,0.88,49.45,28.9,78.75,0.14,21.41,11.42
1994-08,118.58,1.41,66.09,31.55,77.38,0.22,22.29,8.49
1994-09,240.51,3.74,106.43,58.76,77.72,0.89,18.11,5.2
1994-10,93.57,1.08,58.57,25.8,72.99,0.05,12.1,7.14
1994-11,57.38,0.35,28.28,17.13,71.24,0.0,5.97,9.37
1994-12,86.68,0.3,33.94,17.45,71.57,0.01,0.35,7.49
1995-01,95.94,0.7,51.83,24.63,70.01,0.04,-3.16,6.68
1995-02,57.86,0.17,25.5,14.07,69.03,0.0,-2.59,7.55
1995-03,128.89,1.58,43.6,28.2,71.09,0.05,0.66,5.57
1995-04,151.04,1.55,60.7,28.35,70.45,0.12,6.24,4.39
1995-05,205.7,3.03,106.78,51.33,74.59,0.64,11.21,4.96
1995-06,179.44,2.44,74.72,39.53,81.46,0.43,14.56,4.49
1995-07,250.19,3.89,142.06,62.35,82.83,0.91,20.24,6.02
1995-08,161.68,2.21,72.97,35.01,79.6,0.35,21.23,7.08
1995-09,160.84,2.1,94.02,57.14,75.58,0.49,15.98,5.93
1995-10,106.1,1.38,52.04,29.15,75.61,0.04,11.65,8.17
1995-11,90.89,0.71,35.08,20.55,68.97,0.03,3.98,5.81
1995-12,67.87,0.28,23.69,11.28,69.88,0.0,-1.01,11.3
1996-01,87.63,0.37,34.98,16.5,69.8,0.0,-3.08,5.27
1996-02,68.86,0.3,30.23,14.8,68.72,0.0,-3.39,7.88
1996-03,142.4,1.78,56.32,30.43,69.02,0.1,0.17,4.82
1996-04,86.73,0.76,50.47,24.86,66.12,0.13,3.63,8.94
1996-05,132.32,1.9,63.1,34.54,73.49,0.09,10.08,7.14
1996-06,229.42,3.51,96.19,44.86,82.08,0.56,15.82,5.49
1996-07,200.7,2.7,100.51,51.75,82.34,0.68,19.67,5.3
1996-08,158.78,2.22,73.46,46.15,79.86,0.43,20.0,6.32
1996-09,169.93,2.56,84.62,47.16,78.11,0.44,16.06,5.5
1996-10,105.57,1.12,50.62,24.85,75.65,0.01,10.59,6.65
1996-11,112.77,0.86,45.5,23.3,74.14,0.04,5.1,4.91
1996-12,93.31,0.95,40.32,27.98,72.7,0.08,-0.37,7.57
1997-01,84.76,0.4,37.42,17.02,70.92,0.0,-2.81,8.29
1997-02,77.73,0.41,28.97,18.08,69.38,0.0,-2.16,6.14
1997-03,90.36,0.68,41.3,22.62,67.59,0.03,0.95,6.36
1997-04,119.62,1.61,72.04,29.46,70.14,0.09,6.27,7.25
1997-05,171.98,2.61,69.41,40.47,75.01,0.22,11.41,4.9
1997-06,192.65,2.62,91.03,58.63,80.03,0.78,15.69,5.86
1997-07,266.51,4.4,135.24,54.49,81.56,1.12,20.07,7.13
1997-08,165.59,2.22,94.06,46.5,80.74,0.53,20.08,7.3
1997-09,215.55,3.21,102.92,59.77,79.69,0.7,16.19,7.15
1997-10,74.32,0.39,33.28,16.68,72.32,0.02,9.58,10.58
1997-11,163.97,2.74,88.24,43.69,75.11,0.37,6.34,11.02
1997-12,91.55,0.82,51.02,22.02,72.91,0.01,0.74,8.17
1998-01,151.88,1.83,67.37,32.54,73.58,0.14,-3.72,4.81
1998-02,97.43,1.08,46.64,24.42,72.17,0.08,-1.64,8.83
1998-03,104.98,1.28,43.03,25.88,67.17,0.05,1.33,6.29
1998-04,169.87,2.75,76.87,41.58,75.92,0.4,8.79,5.69
1998-05,206.42,3.56,75.94,45.26,75.81,0.43,12.9,5.22
1998-06,239.01,4.01,98.98,46.73,82.45,0.72,15.64,4.22
1998-07,178.53,2.49,79.86,40.17,82.58,0.21,19.7,6.98
1998-08,251.2,3.54,121.36,53.39,83.21,0.94,21.0,4.46
1998-09,248.71,3.75,119.98,70.15,82.15,1.12,18.45,7.07
1998-10,216.55,3.27,114.21,61.16,79.06,0.9,12.94,5.04
1998-11,81.09,0.47,34.56,16.97,72.85,0.01,4.55,7.73
1998-12,64.59,0.28,34.17,14.83,72.15,0.0,0.5,11.02
1999-01,74.38,0.28,27.89,14.77,70.23,0.0,-2.4,5.99
1999-02,82.4,0.48,33.0,18.11,68.89,0.0,-3.0,5.58
1999-03,138.09,1.74,54.96,30.75,71.95,0.08,1.33,4.92
1999-04,119.83,1.44,50.02,31.19,72.51,0.15,6.18,5.92
1999-05,161.6,2.47,80.01,48.87,70.66,0.57,11.23,7.31
1999-06,251.86,4.44,110.3,51.28,79.37,1.1,16.19,6.54
1999-07,217.37,3.16,110.31,47.38,82.78,0.46,19.86,5.6
1999-08,190.02,2.24,90.67,44.62,81.48,0.39,21.84,6.95
1999-09,212.94,3.01,97.1,56.18,80.88,0.64,19.01,5.22
1999-10,152.02,2.26,68.02,49.63,74.64,0.46,11.6,6.71
1999-11,80.5,0.7,42.27,21.22,73.36,0.01,5.45,6.3
1999-12,72.55,0.29,28.97,14.6,71.66,0.01,-0.55,9.54
2000-01,108.07,0.59,43.5,20.98,74.01,0.01,-1.73,4.56
2000-02,67.14,0.23,23.32,12.37,68.77,0.0,-3.65,6.67
2000-03,141.07,1.83,47.31,29.08,67.19,0.05,0.09,4.51
2000-04,143.39,1.95,54.57,35.29,69.43,0.18,5.6,3.92
2000-05,138.53,1.74,66.16,30.87,76.59,0.06,12.04,5.73
2000-06,215.57,3.69,92.49,48.81,80.71,0.7,16.07,5.62
2000-07,200.15,2.65,90.42,54.75,80.58,0.58,20.77,4.46
2000-08,124.86,0.96,66.14,26.04,79.3,0.14,21.5,6.28
2000-09,239.93,3.86,109.55,55.62,78.98,0.68,17.77,4.86
2000-10,150.92,1.85,78.11,36.04,75.32,0.28,11.64,5.27
2000-11,133.5,1.93,74.78,47.16,74.52,0.35,5.34,6.81
2000-12,89.25,0.33,35.24,16.11,71.4,0.0,-0.65,6.56
2001-01,141.0,1.56,51.87,27.08,71.81,0.05,-4.14,4.57
2001-02,80.4,0.4,32.5,17.98,70.16,0.01,-2.93,5.22
2001-03,113.9,0.79,51.4,25.56,68.15,0.03,0.6,4.74
2001-04,65.27,0.62,45.3,19.68,65.75,0.06,6.5,7.61
2001-05,128.06,1.63,57.04,28.1,73.91,0.07,12.16,8.82
2001-06,209.85,3.28,89.79,45.0,78.93,0.47,16.33,5.1
2001-07,160.05,2.04,66.84,35.73,79.21,0.19,20.76,5.34
2001-08,179.47,2.11,88.01,56.5,79.32,0.47,20.25,5.65
2001-09,241.57,3.42,134.33,77.2,77.27,1.22,16.6,6.54
2001-10,168.25,2.65,77.27,47.47,74.73,0.52,11.42,5.5
2001-11,91.47,0.97,45.68,25.01,71.1,0.02,4.83,10.61
2001-12,85.16,0.51,36.66,17.84,71.08,0.0,-1.29,5.96
2002-01,151.47,2.15,56.1,40.89,72.11,0.3,-1.74,4.48
2002-02,63.01,0.32,28.11,16.64,70.17,0.0,-0.85,6.27
2002-03,128.31,1.65,53.0,30.88,66.69,0.09,2.59,4.91
2002-04,107.08,1.36,42.08,26.21,67.98,0.03,8.14,5.87
2002-05,115.98,1.4,56.24,29.93,72.91,0.11,11.73,6.73
2002-06,153.41,2.02,69.78,34.26,75.97,0.32,15.21,7.25
2002-07,257.41,3.7,125.2,69.83,81.99,1.03,20.89,6.0
2002-08,156.41,1.78,77.03,37.48,78.82,0.29,20.63,5.29
2002-09,149.11,2.12,103.82,41.85,75.94,0.35,16.73,6.81
2002-10,157.77,2.27,74.57,51.99,73.12,0.45,11.04,6.08
2002-11,105.59,0.97,50.64,27.28,71.42,0.08,2.97,6.08
2002-12,97.5,0.94,42.01,23.28,72.82,0.06,-0.93,6.66
2003-01,123.82,1.57,55.96,29.76,70.61,0.07,-3.26,6.92
2003-02,72.94,0.4,42.76,16.16,70.91,0.03,-2.09,5.39
2003-03,130.94,1.67,55.54,35.82,67.91,0.17,0.34,6.47
2003-04,156.7,2.09,60.63,30.34,72.91,0.06,7.22,5.23
2003-05,156.05,2.38,63.34,44.42,73.2,0.48,12.03,7.58
2003-06,182.75,2.62,89.71,41.39,78.95,0.41,16.15,6.9
2003-07,218.31,3.31,82.1,42.02,82.9,0.3,17.85,4.79
2003-08,263.05,3.75,119.73,67.57,82.69,0.99,20.39,4.75
2003-09,146.47,1.75,81.79,40.69,77.43,0.39,17.27,5.42
2003-10,98.49,1.32,51.67,26.57,71.33,0.03,10.33,9.4
2003-11,176.13,2.72,70.21,42.09,76.67,0.36,7.43,5.19
2003-12,84.71,0.48,42.93,18.77,71.41,0.0,0.76,6.65
2004-01,77.63,0.43,33.83,16.04,69.5,0.0,-2.78,6.77
2004-02,103.06,0.99,44.03,32.25,67.62,0.11,-1.01,6.88
2004-03,88.94,0.83,42.55,24.05,65.25,0.04,1.26,5.92
2004-04,119.45,1.57,54.19,35.68,63.51,0.23,6.55,6.48
2004-05,234.15,4.22,87.95,44.51,75.44,0.43,12.64,5.19
2004-06,180.26,2.57,80.56,43.68,76.19,0.47,16.64,5.72
2004-07,152.74,1.83,81.03,41.6,78.21,0.33,20.92,5.82
2004-08,212.74,2.77,93.81,56.82,78.55,0.64,20.54,5.07
2004-09,240.55,3.03,99.56,63.04,80.55,0.85,18.03,3.77
2004-10,296.44,4.29,146.9,79.88,76.23,1.64,11.46,5.72
2004-11,86.85,0.78,50.46,22.45,73.48,0.02,7.18,7.69
2004-12,145.73,1.64,77.21,58.08,71.14,0.55,1.24,7.51
2005-01,99.6,0.58,42.01,23.34,70.06,0.1,-2.42,5.25
2005-02,99.3,0.73,47.15,21.39,69.68,0.01,-2.73,4.48
2005-03,124.13,1.0,42.13,22.8,67.33,0.01,0.38,4.75
2005-04,87.23,0.65,36.93,23.99,65.22,0.05,6.65,5.8
2005-05,93.66,0.84,43.33,25.51,70.46,0.05,10.19,6.2
2005-06,125.29,1.48,79.56,36.79,77.66,0.28,16.87,7.03
2005-07,218.86,3.3,102.93,50.57,81.82,0.58,19.64,5.8
2005-08,158.58,1.81,75.71,40.25,79.75,0.29,21.49,5.42
2005-09,178.94,2.27,116.32,64.53,77.93,0.61,18.1,6.71
2005-10,119.07,1.35,51.07,32.22,75.44,0.16,12.25,6.21
2005-11,89.7,0.95,41.5,27.84,70.56,0.08,5.39,9.15
2005-12,89.34,0.42,29.44,13.05,68.55,0.0,-2.34,7.17
2006-01,88.28,0.7,39.7,23.71,69.13,0.06,-2.92,6.87
2006-02,114.18,1.08,54.82,26.1,70.84,0.06,-1.51,4.43
2006-03,122.24,1.1,44.81,26.43,66.82,0.01,0.99,4.16
2006-04,153.53,2.01,63.24,39.95,69.36,0.28,5.54,4.04
2006-05,164.64,2.39,67.19,35.97,74.14,0.19,11.75,4.6
2006-06,186.54,2.76,89.43,49.72,80.14,0.63,15.98,5.93
2006-07,287.2,4.44,140.73,57.12,83.87,1.16,19.81,4.26
2006-08,131.34,1.19,62.65,35.83,79.45,0.29,21.94,8.26
2006-09,150.98,2.28,70.55,42.84,77.39,0.3,16.88,7.24
2006-10,150.85,2.31,94.01,53.63,74.53,0.7,11.87,10.22
2006-11,129.51,1.65,55.72,31.55,73.45,0.09,6.55,7.32
2006-12,119.45,1.11,64.37,42.73,72.29,0.37,1.15,5.77
2007-01,80.6,0.63,40.91,26.61,69.76,0.12,-1.07,6.98
2007-02,82.06,0.8,42.34,21.25,67.19,0.01,-0.54,6.41
2007-03,106.89,0.93,39.82,25.22,65.39,0.08,1.43,6.6
2007-04,100.76,0.8,37.97,21.57,66.59,0.01,5.63,4.8
2007-05,133.32,1.72,46.48,29.23,70.01,0.04,11.3,4.95
2007-06,147.83,1.78,64.98,31.31,78.39,0.16,16.61,5.26
2007-07,266.85,4.1,131.07,61.34,81.61,1.01,18.76,5.52
2007-08,140.01,1.63,71.52,40.55,77.84,0.29,21.59,7.67
2007-09,174.72,2.27,83.36,49.58,78.88,0.52,19.04,5.51
2007-10,117.26,1.46,59.56,36.03,72.49,0.24,11.83,7.83
2007-11,69.46,0.58,38.54,21.71,69.08,0.03,5.21,10.43
2007-12,114.14,1.11,48.01,27.9,70.98,0.04,1.21,8.81
2008-01,81.42,0.45,30.61,17.9,69.43,0.0,-2.36,6.25
2008-02,86.66,0.5,34.6,18.81,66.57,0.0,-3.06,7.11
2008-03,113.16,1.42,46.34,27.4,68.56,0.07,2.45,5.56
2008-04,130.13,1.95,61.34,36.75,67.77,0.34,7.19,6.63
2008-05,161.95,2.67,64.86,42.27,71.98,0.27,11.28,6.56
2008-06,190.73,3.05,76.83,40.61,79.07,0.52,15.48,5.27
2008-07,116.78,1.05,46.25,24.04,79.89,0.01,20.83,5.6
2008-08,183.12,2.43,77.81,38.7,79.58,0.23,20.68,5.41
2008-09,173.25,2.36,88.47,45.11,77.31,0.59,17.61,5.28
2008-10,105.48,1.38,57.94,29.87,74.19,0.1,12.07,7.53
2008-11,103.68,1.1,47.82,25.26,71.78,0.03,5.23,8.04
2008-12,99.85,0.76,38.73,21.99,71.45,0.0,1.17,5.22
2009-01,119.61,1.09,51.75,35.14,70.89,0.15,-1.46,5.75
2009-02,115.0,1.53,56.0,29.14,69.78,0.03,-0.74,5.1
2009-03,131.83,1.73,45.43,31.28,66.33,0.1,1.73,4.73
2009-04,116.26,2.14,59.95,35.15,64.69,0.09,6.61,8.18
2009-05,108.09,1.09,47.76,25.54,69.21,0.08,12.17,8.84
2009-06,183.11,2.6,82.84,43.98,77.34,0.46,16.22,5.43
2009-07,283.87,4.39,103.62,47.19,83.24,0.54,19.89,3.05
2009-08,156.85,2.16,77.92,45.78,79.36,0.39,20.56,6.41
2009-09,84.48,0.8,77.26,23.46,74.81,0.05,16.5,7.2
2009-10,190.06,2.97,95.07,63.77,72.39,0.75,11.36,7.01
2009-11,157.82,2.11,88.42,48.12,74.67,0.5,5.92,5.65
2009-12,104.94,0.72,43.98,25.23,70.45,0.06,0.5,6.0
2010-01,93.27,0.54,36.09,17.99,69.02,0.0,-1.72,5.4
2010-02,111.73,1.08,53.53,28.36,71.25,0.12,-1.13,5.74
2010-03,176.13,2.22,61.2,30.5,70.55,0.05,1.24,3.5
2010-04,191.89,2.8,65.53,38.93,69.33,0.33,5.2,3.87
2010-05,167.22,2.45,93.01,50.05,71.95,0.58,10.91,6.18
2010-06,220.14,3.68,99.87,46.15,78.81,0.61,16.98,5.89
2010-07,257.3,4.38,118.99,49.74,81.85,0.6,21.27,5.56
2010-08,127.44,1.23,69.04,36.56,78.19,0.23,23.06,6.09
2010-09,181.16,2.91,82.76,48.22,75.15,0.55,18.43,6.92
2010-10,165.58,2.66,74.91,42.92,75.44,0.44,12.43,6.97
2010-11,77.68,0.66,51.99,24.25,70.52,0.06,5.43,7.55
2010-12,158.62,2.32,56.35,33.06,71.41,0.07,0.94,5.0
2011-01,65.69,0.11,20.41,8.21,67.55,0.0,-4.02,7.52
2011-02,89.62,0.9,37.25,23.33,69.55,0.04,-1.15,8.93
2011-03,78.77,0.55,32.33,18.77,64.68,0.0,-0.47,5.74
2011-04,124.85,1.65,53.76,30.72,64.58,0.1,5.6,7.6
2011-05,230.66,3.46,110.42,56.2,73.77,0.98,11.23,5.32
2011-06,246.8,3.52,107.27,52.93,80.76,1.05,16.86,4.43
2011-07,208.85,2.97,107.84,54.72,80.47,0.58,20.83,5.85
2011-08,165.36,1.95,108.01,35.79,80.34,0.13,21.73,5.32
2011-09,308.76,4.76,179.54,80.35,78.45,1.82,18.15,6.45
2011-10,140.45,2.23,58.26,36.24,73.51,0.2,11.59,6.02
2011-11,118.02,1.18,60.97,42.0,73.49,0.37,7.1,7.64
2011-12,91.29,0.75,38.32,24.65,69.95,0.02,-0.5,9.12
2012-01,75.56,0.22,32.47,15.38,68.99,0.0,-3.33,7.81
2012-02,116.71,1.21,42.68,26.74,69.63,0.08,-3.37,5.4
2012-03,160.68,2.24,54.58,30.35,70.02,0.07,0.8,4.57
2012-04,135.31,1.83,68.68,32.33,70.16,0.09,6.54,4.66
2012-05,131.16,1.29,70.73,39.42,73.72,0.25,11.57,5.95
2012-06,253.68,3.81,124.04,59.42,79.57,1.28,15.65,5.73
2012-07,191.96,2.88,87.38,44.67,81.78,0.36,20.51,5.89
2012-08,131.74,1.39,66.94,34.56,79.33,0.2,22.1,6.53
2012-09,191.97,2.67,81.61,51.23,79.09,0.56,19.38,5.8
2012-10,110.48,1.48,61.72,29.76,72.19,0.06,11.48,6.79
2012-11,153.39,2.06,52.16,32.84,73.08,0.07,5.15,4.31
2012-12,144.18,1.5,61.04,27.24,71.91,0.05,-1.36,4.36
2013-01,88.37,0.88,40.6,27.42,69.36,0.01,-3.53,7.11
2013-02,104.33,0.62,37.47,18.7,68.67,0.01,-2.54,4.53
2013-03,92.4,0.76,42.07,20.96,66.12,0.01,1.68,6.2
2013-04,153.99,2.0,60.4,34.76,66.83,0.17,5.85,5.12
2013-05,83.74,0.68,38.4,21.82,71.16,0.05,11.1,7.05
2013-06,182.41,2.5,91.98,49.85,80.26,0.86,16.78,7.35
2013-07,182.08,2.29,80.03,37.18,80.7,0.36,21.0,6.21
2013-08,171.96,2.34,88.95,40.95,78.74,0.39,21.95,7.51
2013-09,221.93,3.23,137.69,81.06,76.88,1.07,17.66,8.1
2013-10,261.11,3.72,129.98,91.88,76.75,1.26,12.96,6.75
2013-11,111.5,1.1,41.55,24.5,71.74,0.0,5.15,5.78
2013-12,114.87,1.06,46.22,26.64,71.2,0.02,0.49,6.86
2014-01,81.15,0.45,32.36,18.37,68.02,0.0,-2.88,6.72
2014-02,120.0,1.38,58.6,39.64,70.16,0.29,-2.22,6.95
2014-03,160.29,2.15,59.11,35.51,68.37,0.24,1.32,4.9
2014-04,96.43,1.1,53.46,34.04,63.54,0.16,5.88,9.21
2014-05,112.36,1.74,54.05,33.63,68.48,0.08,11.63,5.92
2014-06,182.26,2.38,88.64,42.89,80.15,0.53,16.81,7.65
2014-07,183.67,2.64,87.93,43.4,80.43,0.45,20.49,5.65
2014-08,299.93,4.37,129.1,65.03,83.64,0.98,21.0,3.97
2014-09,109.05,1.38,50.97,33.26,75.55,0.13,16.26,8.05
2014-10,200.46,2.76,92.23,71.44,73.91,1.02,11.35,5.84
2014-11,107.12,1.09,49.98,25.98,73.73,0.03,6.5,6.95
2014-12,138.53,1.28,52.63,26.94,72.12,0.07,-1.29,4.51
2015-01,120.65,1.04,39.4,23.36,71.8,0.02,-1.32,4.6
2015-02,86.57,0.58,47.08,19.63,69.99,0.0,-0.85,5.41
2015-03,136.22,1.86,58.45,38.68,69.32,0.19,2.71,6.56
2015-04,149.85,2.01,59.05,30.85,71.43,0.12,7.72,8.22
2015-05,106.58,1.58,59.25,30.1,66.76,0.07,12.58,10.42
2015-06,246.61,3.85,85.28,47.52,79.96,0.89,15.88,5.52
2015-07,222.02,3.11,102.77,54.44,81.76,0.68,20.47,5.41
2015-08,197.57,2.86,88.94,45.64,80.42,0.56,20.94,7.12
2015-09,220.14,3.61,111.9,54.5,79.33,0.69,16.69,5.2
2015-10,82.8,0.95,50.32,30.22,69.0,0.16,10.35,10.6
