Month,pr,r20mm,r50mm,hurs,tasmin,tas,hd35,rx5day
1957-02,85.74,0.63,0.04,82.27,21.06,23.72,0.0,39.95
1957-03,132.41,1.02,0.14,82.95,22.26,24.97,0.02,73.62
1957-04,166.72,1.61,0.41,82.18,22.8,25.59,0.13,92.15
1957-05,88.15,0.26,0.0,77.68,23.34,26.6,1.12,36.94
1957-06,290.44,3.35,0.19,84.6,23.49,25.97,0.37,109.28
1957-07,292.45,3.01,0.37,85.85,23.0,25.47,0.05,104.02
1957-08,293.27,3.34,0.3,85.62,23.23,25.57,0.08,104.03
1957-09,307.65,3.47,0.49,85.19,22.97,25.35,0.01,118.8
1957-10,192.68,1.75,0.24,84.26,22.64,25.26,0.01,86.64
1957-11,151.95,1.04,0.53,82.28,21.99,24.65,0.0,93.36
1957-12,77.87,0.18,0.03,83.2,22.25,24.71,0.01,24.91
1958-01,115.27,0.71,0.05,82.48,21.74,24.09,0.01,42.55
1958-02,87.78,0.52,0.03,80.93,21.56,24.18,0.02,44.93
1958-03,53.79,0.22,0.02,76.53,22.05,25.0,0.25,30.53
1958-04,76.47,0.45,0.0,74.57,23.1,26.22,0.85,39.99
1958-05,179.79,1.57,0.08,80.32,23.96,26.75,1.6,82.52
1958-06,268.93,3.13,0.3,85.13,23.75,26.21,0.03,96.65
1958-07,243.53,2.44,0.24,84.84,23.4,25.82,0.04,92.93
1958-08,277.54,2.64,0.12,85.38,23.19,25.59,0.0,96.68
1958-09,288.75,3.75,0.39,86.32,23.24,25.51,0.0,113.95
1958-10,264.63,2.63,0.67,85.67,23.07,25.35,0.02,117.42
1958-11,241.78,2.78,0.35,85.32,22.36,24.5,0.0,107.56
1958-12,96.4,0.62,0.07,83.33,21.51,24.01,0.0,41.42
1959-01,87.34,0.49,0.02,81.47,21.21,23.59,0.03,28.35
1959-02,49.06,0.15,0.02,78.84,21.66,24.57,0.09,40.34
1959-03,129.25,1.35,0.15,80.21,22.35,24.97,0.23,59.71
1959-04,60.72,0.2,0.0,76.38,22.83,25.99,0.55,30.22
1959-05,184.29,1.24,0.09,80.63,23.54,26.27,0.54,62.09
1959-06,161.69,0.93,0.03,80.73,23.77,26.63,1.43,62.02
1959-07,261.82,2.61,0.25,83.21,23.16,25.71,0.77,91.91
1959-08,276.17,3.31,0.22,84.33,23.14,25.43,0.26,93.74
1959-09,194.71,1.8,0.11,83.78,23.0,25.64,0.02,78.09
1959-10,158.84,1.31,0.05,82.86,22.83,25.36,0.05,69.57
1959-11,232.5,2.07,0.86,84.07,22.77,25.01,0.05,125.08
1959-12,152.78,1.52,0.37,83.1,22.25,24.63,0.03,76.34
1960-01,115.25,0.91,0.22,81.92,21.89,24.33,0.04,56.14
1960-02,155.14,1.43,0.13,82.52,22.06,24.39,0.03,63.66
1960-03,77.0,0.32,0.0,78.76,22.12,25.22,0.26,39.58
1960-04,169.16,1.72,0.32,80.19,23.24,26.11,0.53,90.92
1960-05,183.46,1.71,0.11,80.96,23.61,26.45,1.02,80.77
1960-06,270.88,3.15,0.4,83.91,23.49,26.01,0.25,111.4
1960-07,211.84,1.45,0.09,83.17,23.48,26.14,0.32,71.02
1960-08,252.38,3.65,0.56,83.05,23.72,26.16,0.38,109.46
1960-09,259.19,2.61,0.14,84.68,23.13,25.51,0.02,89.51
1960-10,275.73,2.81,0.9,83.64,23.01,25.39,0.01,140.91
1960-11,134.58,0.55,0.01,83.49,22.7,25.11,0.02,43.71
1960-12,102.01,0.74,0.07,81.86,21.85,24.23,0.01,46.68
1961-01,122.2,1.14,0.14,80.07,20.81,23.1,0.0,49.75
1961-02,98.06,0.85,0.09,80.92,21.82,24.26,0.02,50.96
1961-03,73.71,0.25,0.01,79.71,22.38,25.22,0.21,40.45
1961-04,90.64,0.39,0.01,78.08,23.34,26.28,0.79,36.61
